Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,33,27.4,4.79,24,879,806,115,210,52,6,21,111,21,3,53,179,.261,.311,.418,.729,100,337,21,9,2,8,0,137
Atlanta Braves,33,28.1,5.09,23,889,788,117,202,42,2,35,111,18,3,90,223,.256,.337,.448,.785,111,353,21,8,0,3,0,162
Baltimore Orioles,30,27.2,5.14,22,832,721,113,178,42,2,25,109,25,4,93,190,.247,.336,.415,.750,110,299,21,7,4,7,2,143
Boston Red Sox,32,29.0,5.67,24,923,814,136,204,48,2,32,128,10,1,85,193,.251,.329,.432,.761,107,352,18,13,2,7,2,154
Chicago Cubs,30,29.1,5.76,21,825,737,121,206,36,2,28,115,24,8,73,174,.280,.349,.448,.796,118,330,12,8,0,5,0,152
Chicago White Sox,32,27.8,4.17,23,868,795,96,187,48,0,23,94,15,2,60,196,.235,.296,.382,.678,87,304,12,9,1,2,2,154
Cincinnati Reds,33,27.7,4.13,23,857,750,95,174,31,4,15,90,15,6,85,224,.232,.317,.344,.661,75,258,11,11,4,7,1,160
Cleveland Guardians,29,27.0,3.91,23,889,777,90,178,43,5,12,80,28,5,93,169,.229,.314,.344,.657,87,267,16,7,3,9,9,174
Colorado Rockies,29,29.6,3.83,24,896,810,92,198,46,0,20,88,2,2,66,221,.244,.306,.375,.681,77,304,22,9,2,8,1,165
Detroit Tigers,31,27.0,3.05,21,787,711,64,150,29,2,16,63,13,6,65,204,.211,.278,.325,.603,73,231,16,3,2,5,4,148
Houston Astros,26,28.5,5.04,23,894,789,116,199,35,1,24,112,17,4,81,194,.252,.329,.390,.720,102,308,16,13,2,7,3,169
Kansas City Royals,30,27.3,3.35,23,830,761,77,163,33,5,18,72,13,1,54,208,.214,.273,.342,.615,72,260,16,9,1,4,2,133
Los Angeles Angels,30,29.1,5.00,23,883,772,115,189,34,0,31,114,6,4,82,199,.245,.328,.409,.738,104,316,21,18,0,8,1,156
Los Angeles Dodgers,31,31.0,5.26,23,876,752,121,172,33,6,43,119,8,4,107,220,.229,.327,.460,.787,110,346,12,7,0,9,2,150
Miami Marlins,33,29.8,3.13,23,830,758,72,184,33,3,21,71,20,3,59,205,.243,.301,.377,.678,87,286,24,5,3,3,3,152
Milwaukee Brewers,33,27.3,4.78,23,870,769,110,193,30,1,29,106,18,4,87,216,.251,.328,.406,.734,103,312,21,5,2,7,1,151
Minnesota Twins,34,28.7,4.22,23,859,771,97,180,32,4,26,92,2,3,67,215,.233,.305,.387,.691,95,298,15,14,2,5,1,152
New York Mets,34,30.4,4.87,23,894,766,112,185,38,0,26,108,21,3,100,167,.242,.339,.393,.732,104,301,17,17,2,9,1,171
New York Yankees,31,29.2,4.09,23,830,737,94,166,26,3,30,88,23,6,81,205,.225,.306,.391,.697,95,288,16,7,0,5,2,138
Oakland Athletics,33,28.5,3.74,23,870,769,86,176,31,1,25,84,22,4,77,208,.229,.308,.369,.677,95,284,20,13,4,5,2,159
Philadelphia Phillies,30,28.6,4.52,23,881,803,104,222,50,7,26,100,16,4,67,217,.276,.336,.453,.790,116,364,13,7,1,3,2,171
Pittsburgh Pirates,31,28.4,4.83,23,874,764,111,191,47,7,27,104,25,5,88,186,.250,.329,.436,.765,110,333,17,7,4,11,0,158
San Diego Padres,32,29.5,3.83,24,881,772,92,167,42,1,27,88,9,3,90,214,.216,.301,.378,.680,93,292,20,7,3,7,2,154
Seattle Mariners,34,28.2,4.45,22,831,738,98,167,43,1,22,96,15,6,73,202,.226,.305,.377,.682,95,278,14,13,1,6,1,146
San Francisco Giants,34,29.4,4.50,22,853,757,99,179,28,1,34,98,11,3,75,236,.236,.317,.411,.728,98,311,15,16,1,4,1,163
St. Louis Cardinals,30,27.6,4.52,23,893,794,104,212,42,2,27,101,15,4,86,188,.267,.343,.427,.770,115,339,19,7,2,3,5,177
Tampa Bay Rays,32,27.0,6.83,23,891,788,157,226,46,3,48,154,18,8,78,186,.287,.360,.536,.896,153,422,7,17,0,8,1,152
Texas Rangers,29,28.6,6.59,22,851,747,145,197,39,3,29,141,11,4,82,185,.264,.342,.440,.782,119,329,14,11,2,8,0,132
Toronto Blue Jays,27,28.8,4.57,23,887,789,105,202,38,1,26,100,14,7,83,186,.256,.332,.406,.737,107,320,12,9,1,5,2,171
Washington Nationals,27,26.8,3.62,21,792,710,76,176,29,3,10,72,9,5,61,145,.248,.314,.339,.653,86,241,19,10,5,6,0,155
League Average,31,28.4,4.58,23,864,767,104,188,38,3,26,100,15,4,78,198,.245,.320,.402,.723,100,309,17,10,2,6,2,155
,931,28.4,4.58,684,25915,23015,3130,5633,1146,78,776,3009,464,125,2341,5955,.245,.320,.402,.723,100,9263,498,296,56,184,53,4659