Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,33,4.92,.724,24,216,161,1890.0,869,630,232,7,18,.992,15,10,16,13,2
Atlanta Braves,33,3.57,.678,23,207,175,1854.0,829,618,195,16,23,.981,-5,-3,2,-5,-1
Baltimore Orioles,30,4.27,.688,22,198,148,1770.0,785,590,183,12,24,.985,9,6,-12,0,-2
Boston Red Sox,32,5.25,.676,24,216,161,1899.0,859,633,211,15,22,.983,-1,-1,-6,-3,-1
Chicago Cubs,30,3.90,.717,21,189,148,1698.0,762,566,185,11,13,.986,4,3,8,1,1
Chicago White Sox,32,5.65,.661,23,207,157,1803.0,772,601,160,11,13,.986,-17,-11,-8,-5,-1
Cincinnati Reds,32,5.04,.642,23,207,126,1794.0,782,598,174,10,18,.987,-25,-17,-16,-2,0
Cleveland Guardians,29,4.43,.698,23,207,169,1884.0,863,628,224,11,16,.987,-9,-6,-13,0,-4
Colorado Rockies,29,5.83,.681,24,216,170,1854.0,856,618,221,17,22,.980,-4,-3,-11,-1,-1
Detroit Tigers,30,4.95,.727,21,189,136,1701.0,764,567,189,8,17,.990,8,5,8,0,1
Houston Astros,26,4.09,.685,23,207,168,1860.0,824,620,196,8,13,.990,-3,-2,3,0,-1
Kansas City Royals,30,5.61,.683,23,207,153,1824.0,806,608,191,7,18,.991,4,2,4,0,1
Los Angeles Angels,30,4.70,.698,23,207,161,1833.0,814,611,189,14,20,.983,-7,-5,4,0,-1
Los Angeles Dodgers,29,4.43,.686,23,207,141,1818.0,813,606,198,9,18,.989,0,0,-1,-1,-2
Miami Marlins,33,4.61,.702,23,207,160,1845.0,841,615,211,15,17,.982,1,1,-1,0,2
Milwaukee Brewers,32,3.70,.727,23,207,157,1854.0,848,618,220,10,21,.988,22,14,26,8,1
Minnesota Twins,33,3.48,.718,23,207,144,1842.0,811,614,188,9,19,.989,9,6,1,0,2
New York Mets,33,4.04,.716,23,207,154,1809.0,798,603,189,6,23,.992,11,7,3,2,0
New York Yankees,31,3.39,.716,23,207,167,1845.0,812,615,188,9,18,.989,3,2,10,1,-2
Oakland Athletics,33,8.17,.674,23,207,146,1827.0,799,609,176,14,16,.982,-14,-9,-23,-2,-5
Philadelphia Phillies,30,4.96,.681,23,207,157,1800.0,797,600,188,9,12,.989,-6,-4,3,0,1
Pittsburgh Pirates,31,3.74,.688,23,207,140,1851.0,810,617,179,14,18,.983,-2,-1,1,-2,1
San Diego Padres,32,4.38,.695,24,216,171,1923.0,876,641,229,6,22,.993,-3,-2,-1,-1,2
Seattle Mariners,33,4.41,.699,22,198,162,1824.0,812,608,195,9,15,.989,-2,-2,9,0,1
San Francisco Giants,31,4.95,.669,22,198,132,1779.0,827,593,217,17,19,.979,-13,-9,-11,-1,-1
St. Louis Cardinals,29,4.78,.658,23,207,165,1827.0,847,609,230,8,27,.991,-3,-2,8,2,-1
Tampa Bay Rays,32,2.78,.741,23,207,154,1845.0,824,615,201,8,16,.990,18,12,0,0,0
Texas Rangers,29,3.91,.690,22,198,139,1755.0,772,585,174,13,21,.983,0,0,2,0,0
Toronto Blue Jays,27,4.61,.703,23,207,169,1818.0,797,606,180,11,18,.986,9,6,14,1,4
Washington Nationals,27,4.57,.699,21,189,161,1656.0,783,552,216,15,25,.981,1,0,-6,2,1
League Average,31,4.58,.694,23,205,155,1819,815,606,198,11,19,.987,-0,0,0,0,-0
,919,4.58,.694,684,6156,4652,54582.0,24452,18194,5929,329,562,.987,-2,0,12,0,-3