Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,19,29.1,4.92,13,11,.542,4.80,24,24,24,0,3,0,6,210.0,183,118,112,33,104,0,198,8,2,9,898,92,5.08,1.367,7.8,1.4,4.5,8.5,1.90,150
Atlanta Braves,17,29.9,3.57,15,8,.652,3.32,23,23,23,0,2,0,6,206.0,182,82,76,15,74,1,212,10,2,8,862,136,3.43,1.243,8.0,0.7,3.2,9.3,2.86,163
Baltimore Orioles,15,28.4,4.27,15,7,.682,4.12,22,22,22,0,3,0,6,196.2,180,94,90,25,64,4,200,8,3,10,819,111,4.04,1.241,8.2,1.1,2.9,9.2,3.13,137
Boston Red Sox,16,31.2,5.25,12,12,.500,5.12,24,24,24,0,0,0,6,211.0,211,126,120,33,76,0,212,17,0,9,918,93,4.67,1.360,9.0,1.4,3.2,9.0,2.79,160
Chicago Cubs,15,29.9,3.90,12,9,.571,3.67,21,21,21,0,4,0,2,188.2,149,82,77,22,71,1,206,6,1,4,779,120,3.88,1.166,7.1,1.0,3.4,9.8,2.90,132
Chicago White Sox,17,29.8,5.65,7,16,.304,5.44,23,23,23,0,1,0,3,200.1,207,130,121,32,105,2,226,17,3,9,917,85,4.97,1.557,9.3,1.4,4.7,10.2,2.15,189
Cincinnati Reds,20,27.9,5.04,8,15,.348,5.06,23,23,23,0,1,0,4,199.1,221,116,112,24,84,1,209,8,2,11,893,98,4.17,1.530,10.0,1.1,3.8,9.4,2.49,180
Cleveland Guardians,15,26.6,4.43,11,12,.478,4.04,23,23,23,0,1,0,9,209.1,201,102,94,22,65,2,176,6,1,17,886,108,4.02,1.271,8.6,0.9,2.8,7.6,2.71,162
Colorado Rockies,17,29.5,5.83,7,17,.292,5.33,24,24,24,0,3,0,3,206.0,213,140,122,34,94,1,184,8,4,8,916,94,5.17,1.490,9.3,1.5,4.1,8.0,1.96,158
Detroit Tigers,17,28.7,4.95,8,13,.381,4.71,21,21,21,0,1,0,4,189.0,168,104,99,31,63,1,167,10,2,7,792,93,4.85,1.222,8.0,1.5,3.0,8.0,2.65,129
Houston Astros,13,28.4,4.09,12,11,.522,3.44,23,23,23,0,1,0,5,206.2,189,94,79,23,69,1,227,12,1,7,872,126,3.75,1.248,8.2,1.0,3.0,9.9,3.29,161
Kansas City Royals,16,30.2,5.61,5,18,.217,5.51,23,23,23,0,0,0,3,202.2,212,129,124,34,76,0,189,9,1,6,886,84,4.90,1.421,9.4,1.5,3.4,8.4,2.49,150
Los Angeles Angels,16,28.3,4.70,11,12,.478,4.15,23,23,23,0,3,0,8,203.2,182,108,94,23,86,5,192,20,1,12,878,112,4.47,1.316,8.0,1.0,3.8,8.5,2.23,162
Los Angeles Dodgers,16,28.0,4.43,12,11,.522,4.37,23,23,23,0,1,0,4,202.0,200,102,98,27,58,1,189,11,1,4,855,102,4.21,1.277,8.9,1.2,2.6,8.4,3.26,147
Miami Marlins,20,27.5,4.61,12,11,.522,4.35,23,23,22,1,1,1,5,205.0,186,106,99,27,76,0,192,12,1,2,874,101,4.45,1.278,8.2,1.2,3.3,8.4,2.53,156
Milwaukee Brewers,18,29.6,3.70,15,8,.652,3.50,23,23,23,0,4,0,7,206.0,174,85,80,25,77,2,175,9,0,5,857,122,4.45,1.218,7.6,1.1,3.4,7.6,2.27,157
Minnesota Twins,18,29.0,3.48,13,10,.565,3.25,23,23,23,0,2,0,7,204.2,163,80,74,24,58,0,223,6,0,7,826,135,3.61,1.080,7.2,1.1,2.6,9.8,3.84,135
New York Mets,20,31.5,4.04,14,9,.609,4.16,23,23,23,0,2,0,7,201.0,178,93,93,33,91,1,199,10,0,5,857,102,4.98,1.338,8.0,1.5,4.1,8.9,2.19,162
New York Yankees,16,28.6,3.39,13,10,.565,3.16,23,23,22,1,3,1,4,205.0,162,78,72,20,74,0,219,14,3,8,847,140,3.74,1.151,7.1,0.9,3.2,9.6,2.96,155
Oakland Athletics,19,28.1,8.17,5,18,.217,7.98,23,23,23,0,0,0,3,203.0,236,188,180,43,120,4,165,21,0,18,967,54,6.53,1.754,10.5,1.9,5.3,7.3,1.38,174
Philadelphia Phillies,17,29.7,4.96,11,12,.478,4.82,23,23,23,0,0,0,5,200.0,189,114,107,21,88,0,206,6,2,7,866,90,4.04,1.385,8.5,0.9,4.0,9.3,2.34,153
Pittsburgh Pirates,15,29.2,3.74,16,7,.696,3.63,23,23,23,0,3,0,12,205.2,190,86,83,20,86,7,202,5,1,10,888,122,3.95,1.342,8.3,0.9,3.8,8.8,2.35,187
San Diego Padres,17,30.7,4.38,12,12,.500,4.34,24,24,24,0,1,0,8,213.2,201,105,103,25,90,0,204,10,1,9,919,94,4.34,1.362,8.5,1.1,3.8,8.6,2.27,174
Seattle Mariners,20,28.9,4.41,10,12,.455,3.73,22,22,22,0,2,0,7,202.2,176,97,84,17,76,8,204,6,0,6,851,116,3.61,1.243,7.8,0.8,3.4,9.1,2.68,153
San Francisco Giants,15,31.0,4.95,9,13,.409,4.23,22,22,21,1,2,1,4,197.2,199,109,93,29,55,2,203,9,1,7,845,104,4.15,1.285,9.1,1.3,2.5,9.2,3.69,149
St. Louis Cardinals,15,29.0,4.78,9,14,.391,4.48,23,23,23,0,2,0,4,203.0,213,110,101,27,79,1,209,6,1,11,880,91,4.25,1.438,9.4,1.2,3.5,9.3,2.65,163
Tampa Bay Rays,18,27.7,2.78,20,3,.870,2.72,23,23,23,0,6,0,4,205.0,142,64,62,14,70,2,213,11,1,7,824,157,3.32,1.034,6.2,0.6,3.1,9.4,3.04,146
Texas Rangers,14,31.3,3.91,14,8,.636,3.46,22,22,22,0,1,0,3,195.0,166,86,75,17,67,3,206,6,2,8,803,130,3.47,1.195,7.7,0.8,3.1,9.5,3.07,133
Toronto Blue Jays,13,30.4,4.61,14,9,.609,4.37,23,23,23,0,1,0,10,202.0,184,106,98,30,70,2,201,9,2,2,855,101,4.44,1.257,8.2,1.3,3.1,9.0,2.87,145
Washington Nationals,13,29.1,4.57,7,14,.333,4.26,21,21,21,0,0,0,5,184.0,176,96,87,26,75,1,147,6,0,7,785,99,4.88,1.364,8.6,1.3,3.7,7.2,1.96,137
League Average,17,29.2,4.58,11,11,.500,4.32,23,23,23,0,2,0,5,202,188,104,97,26,78,2,198,10,1,8,864,103,4.33,1.315,8.4,1.2,3.5,8.8,2.54,155
,496,29.2,4.58,342,342,.500,4.32,684,684,681,3,54,3,164,6064.2,5633,3130,2909,776,2341,53,5955,296,39,240,25915,103,4.33,1.315,8.4,1.2,3.5,8.8,2.54,4659